time,Arr_CUHI_0,Arr_CUHI_0_JJA,Arr_CUHI_0_DJF,Arr_SUHI_0,Arr_SUHI_0_JJA,Arr_SUHI_0_DJF,Arr_CUHI_1,Arr_CUHI_1_JJA,Arr_CUHI_1_DJF,Arr_SUHI_1,Arr_SUHI_1_JJA,Arr_SUHI_1_DJF,Arr_CUHI_2,Arr_CUHI_2_JJA,Arr_CUHI_2_DJF,Arr_SUHI_2,Arr_SUHI_2_JJA,Arr_SUHI_2_DJF
2071,0.7446430921554565,0.8462660908699036,0.6388203501701355,1.2468010187149048,1.4468817710876465,1.0744820833206177,-1.257000207901001,-1.3979992866516113,-0.9320538640022278,-3.915724277496338,-4.4087700843811035,-2.843648672103882,0.31997644901275635,0.39589619636535645,0.2704949975013733,-1.0906198024749756,-1.1712472438812256,-0.7501004934310913
2072,0.7236526012420654,0.8289337158203125,0.644355297088623,1.201265573501587,1.4113670587539673,1.0670405626296997,-1.264467477798462,-1.3914557695388794,-0.9767541885375977,-3.895505666732788,-4.356460094451904,-2.9232895374298096,0.28766611218452454,0.36698925495147705,0.2561064660549164,-1.1559046506881714,-1.234953761100769,-0.8117223381996155
2073,0.7412391304969788,0.8558520674705505,0.6532509922981262,1.2249733209609985,1.437018871307373,1.1099029779434204,-1.2711093425750732,-1.4192016124725342,-0.9070491790771484,-3.9574146270751953,-4.481762886047363,-2.797203302383423,0.29927411675453186,0.3829512596130371,0.27982547879219055,-1.1874867677688599,-1.2905819416046143,-0.7451903223991394
2074,0.7433738708496094,0.8311875462532043,0.6467443108558655,1.242330551147461,1.405453085899353,1.0844484567642212,-1.2481707334518433,-1.3523695468902588,-0.9411381483078003,-3.910348892211914,-4.319043159484863,-2.837838888168335,0.2947905361652374,0.361356645822525,0.2531817853450775,-1.1995354890823364,-1.2941501140594482,-0.8154919743537903
2075,0.7178251147270203,0.8071279525756836,0.6491647958755493,1.1845076084136963,1.3461719751358032,1.071591854095459,-1.254431128501892,-1.3654383420944214,-1.0132498741149902,-3.8835158348083496,-4.305739402770996,-2.9995689392089844,0.2614133358001709,0.3276868760585785,0.2389892190694809,-1.257831335067749,-1.3538336753845215,-0.9054391384124756
2076,0.751250147819519,0.8460158109664917,0.639593780040741,1.2732568979263306,1.4407362937927246,1.1082578897476196,-1.2737034559249878,-1.4347211122512817,-0.8693392276763916,-3.9399189949035645,-4.497664451599121,-2.684098720550537,0.28763243556022644,0.3443605303764343,0.25994569063186646,-1.234763503074646,-1.397158145904541,-0.7591582536697388
2077,0.7102020382881165,0.8124781250953674,0.6319639682769775,1.1941733360290527,1.3866511583328247,1.0227432250976562,-1.2296584844589233,-1.3725231885910034,-1.0171263217926025,-3.815021514892578,-4.316085338592529,-3.009016990661621,0.2511153221130371,0.32282164692878723,0.2104291021823883,-1.2623354196548462,-1.3779274225234985,-0.9838405251502991
2078,0.7274811863899231,0.8375009894371033,0.6062009334564209,1.2130126953125,1.4582737684249878,0.9958832859992981,-1.2851791381835938,-1.3691022396087646,-0.9661737680435181,-3.9651472568511963,-4.347005844116211,-2.916684150695801,0.25031232833862305,0.34061458706855774,0.18889692425727844,-1.3380764722824097,-1.3820672035217285,-0.994905948638916
2079,0.7064711451530457,0.8016756176948547,0.631535530090332,1.1641206741333008,1.3671239614486694,1.0171258449554443,-1.2784727811813354,-1.3790271282196045,-0.999622106552124,-3.9303178787231445,-4.3448872566223145,-2.9982645511627197,0.22808167338371277,0.2990516424179077,0.2050258070230484,-1.3686926364898682,-1.4513182640075684,-1.018894910812378
2080,0.7311840057373047,0.8468632698059082,0.6456371545791626,1.2141486406326294,1.4474042654037476,1.0838044881820679,-1.297512173652649,-1.462401032447815,-0.939148485660553,-3.968158483505249,-4.499432563781738,-2.8377280235290527,0.24619854986667633,0.32583490014076233,0.2307383269071579,-1.3638895750045776,-1.4625773429870605,-0.909777045249939
