time,Arr_TBOT_1,Arr_TBOT_1_JJA,Arr_TBOT_1_DJF,Arr_FSDS_1,Arr_FSDS_1_JJA,Arr_FSDS_1_DJF,Arr_FLDS_1,Arr_FLDS_1_JJA,Arr_FLDS_1_DJF,Arr_QBOT_1,Arr_QBOT_1_JJA,Arr_QBOT_1_DJF,Arr_PBOT_1,Arr_PBOT_1_JJA,Arr_PBOT_1_DJF,Arr_RAIN_1,Arr_RAIN_1_JJA,Arr_RAIN_1_DJF,Arr_SNOW_1,Arr_SNOW_1_JJA,Arr_SNOW_1_DJF
2059,19.70808219909668,25.26422691345215,13.555596351623535,193.63467407226562,221.8041229248047,145.21551513671875,364.48974609375,394.51708984375,334.88726806640625,0.01054709404706955,0.012799917720258236,0.008496399037539959,95491.96875,95354.8125,95627.765625,3.263916732976213e-05,3.5904449759982526e-05,3.0715753382537514e-05,1.1580506225072895e-06,1.5487044535689165e-08,3.175407982780598e-06
2060,19.698015213012695,25.155641555786133,13.267067909240723,192.7692108154297,217.85556030273438,145.54940795898438,363.9580993652344,395.18072509765625,331.5133361816406,0.010575986467301846,0.013012079522013664,0.008109942078590393,95507.796875,95387.84375,95697.3359375,3.582023782655597e-05,4.423501013661735e-05,2.8091850253986195e-05,1.036509956975351e-06,2.139792343314184e-08,2.655001935636392e-06
2061,19.5184268951416,24.96974754333496,13.51655101776123,194.1898193359375,220.37158203125,148.5231475830078,361.58489990234375,392.5867919921875,331.4344177246094,0.010327685624361038,0.012737290933728218,0.008123519830405712,95527.265625,95357.234375,95749.0546875,3.272585308877751e-05,3.8315702113322914e-05,2.6053940018755384e-05,9.886714451567968e-07,1.5685284182609394e-08,2.6780264761328e-06
2062,19.855649948120117,25.29743194580078,13.73660945892334,194.4886016845703,221.1217803955078,145.01654052734375,364.5995178222656,394.61553955078125,337.41375732421875,0.010531178675591946,0.012790095061063766,0.008685000240802765,95532.828125,95413.9609375,95617.1171875,3.241715603508055e-05,3.713333353516646e-05,2.9429093046928756e-05,1.1740582976926817e-06,2.638076068706141e-08,3.6450899187912e-06
2063,19.850393295288086,25.125446319580078,13.410375595092773,191.52938842773438,215.92601013183594,148.59141540527344,366.17706298828125,396.796142578125,328.1702575683594,0.010806376114487648,0.01331853587180376,0.007917283102869987,95491.5625,95325.4921875,95676.265625,3.6856810766039416e-05,4.7200697736116126e-05,3.0340597731992602e-05,1.1196279956493527e-06,2.5401357461873886e-08,2.5343397282995284e-06
2064,19.443103790283203,24.833187103271484,13.630212783813477,194.30413818359375,219.37046813964844,149.3444061279297,360.3091735839844,391.92877197265625,329.79827880859375,0.010213136672973633,0.012620585039258003,0.007991562597453594,95510.3828125,95343.59375,95656.546875,3.405696043046191e-05,4.103525498067029e-05,2.63632809947012e-05,9.45821966524818e-07,2.825838940623271e-08,2.6524589884502348e-06
2065,19.754167556762695,25.058795928955078,13.56142807006836,194.49537658691406,222.55274963378906,146.2937469482422,363.1964111328125,392.6543884277344,333.9094543457031,0.01037469319999218,0.012590966187417507,0.008454087190330029,95495.0703125,95369.0234375,95674.34375,3.147259121760726e-05,3.503857078612782e-05,2.769896855170373e-05,1.0799102483360912e-06,2.7412916381308605e-08,2.7659009447233984e-06
2066,19.74032974243164,25.234050750732422,13.249932289123535,191.74073791503906,216.71212768554688,148.4582061767578,365.8935546875,396.6357727050781,329.4799499511719,0.010806319303810596,0.013195022940635681,0.0080939419567585,95519.0546875,95358.140625,95703.53125,3.6135381378699094e-05,4.622466440196149e-05,2.8354763344395906e-05,1.0404436352473567e-06,2.2456919879232373e-08,2.9070808977849083e-06
2067,19.38460350036621,24.76474380493164,12.979555130004883,193.6177520751953,218.1642303466797,147.39036560058594,361.166748046875,392.5214538574219,330.5957946777344,0.010264953598380089,0.012676778249442577,0.008091142401099205,95504.03125,95334.0,95731.734375,3.339296381454915e-05,3.8994676287984475e-05,2.7208774554310367e-05,1.1329362905598828e-06,2.1961076512866384e-08,2.741751814028248e-06
2068,19.726913452148438,25.444746017456055,13.284282684326172,193.57855224609375,221.41571044921875,143.8596954345703,365.21588134765625,396.0634460449219,336.8206481933594,0.01058650016784668,0.012809060513973236,0.00862126424908638,95526.34375,95363.9453125,95693.2421875,3.220201688236557e-05,3.5753466363530606e-05,2.801909613481257e-05,9.497488804299792e-07,1.4300593598193245e-08,2.782463070616359e-06
