time,Arr_TBUILD_2_C,Arr_TBUILD_2_JJA_C,Arr_TBUILD_2_DJF_C,Arr_HIA_U_2,Arr_HIA_U_2_JJA,Arr_HIA_U_2_DJF,Arr_APPAR_TEMP_U_2,Arr_APPAR_TEMP_U_2_JJA,Arr_APPAR_TEMP_U_2_DJF,Arr_SWBGT_U_2,Arr_SWBGT_U_2_JJA,Arr_SWBGT_U_2_DJF,Arr_HUMIDEX_U_2,Arr_HUMIDEX_U_2_JJA,Arr_HUMIDEX_U_2_DJF,Arr_DISCOIS_U_2,Arr_DISCOIS_U_2_JJA,Arr_DISCOIS_U_2_DJF
2056,22.757135009765648,26.547570800781273,18.852014160156273,21.588552474975586,27.980432510375977,13.94733715057373,19.62363052368164,26.640483856201172,11.239563941955566,21.78411865234375,26.497629165649414,16.271512985229492,23.692256927490234,31.48459243774414,14.504997253417969,17.584978103637695,22.787137985229492,11.18266487121582
2057,22.476037597656273,26.097375488281273,19.020684814453148,21.107694625854492,27.075584411621094,15.1043062210083,19.189167022705078,25.789470672607422,12.424663543701172,21.470115661621094,25.89130973815918,17.124319076538086,23.188472747802734,30.524675369262695,15.92020034790039,17.293399810791016,22.249515533447266,12.242657661437988
2058,22.697015380859398,26.347192382812523,19.048974609375023,21.731931686401367,27.775358200073242,14.926992416381836,19.814571380615234,26.442007064819336,12.396953582763672,21.915966033935547,26.376052856445312,17.05573844909668,23.9043025970459,31.287620544433594,15.79211711883545,17.738950729370117,22.662614822387695,12.127259254455566
2059,22.941278076171898,26.787957763671898,19.422845458984398,21.95598030090332,28.228256225585938,15.285411834716797,20.07296371459961,26.857221603393555,12.63888931274414,22.1038818359375,26.654842376708984,17.28883171081543,24.209333419799805,31.765628814697266,16.15131378173828,17.921142578125,22.989025115966797,12.269257545471191
2060,22.821282958984398,26.621911621093773,18.953332519531273,22.02010154724121,28.26590919494629,14.757123947143555,20.059755325317383,26.882585525512695,12.168399810791016,22.1057186126709,26.71832275390625,16.890729904174805,24.20353126525879,31.832372665405273,15.524194717407227,17.900081634521484,22.9713191986084,11.926046371459961
2061,22.578973388671898,26.418695068359398,18.956567382812523,21.651378631591797,27.866422653198242,14.950504302978516,19.760677337646484,26.582063674926758,12.389772415161133,21.85743522644043,26.451183319091797,17.037166595458984,23.81525993347168,31.415634155273438,15.78092098236084,17.69267463684082,22.7497615814209,12.160146713256836
2062,22.945855712890648,26.771142578125023,19.672937011718773,22.099327087402344,28.27897071838379,15.505167007446289,20.19559097290039,26.89572525024414,12.883902549743652,22.169029235839844,26.665111541748047,17.49577522277832,24.32682991027832,31.783557891845703,16.47865867614746,18.011577606201172,22.998218536376953,12.435532569885254
2063,22.898004150390648,26.477258300781273,18.686944580078148,22.234655380249023,28.352380752563477,14.77173137664795,20.303264617919922,27.015869140625,12.072006225585938,22.320375442504883,26.876811981201172,16.82729148864746,24.533308029174805,32.043914794921875,15.446454048156738,18.075773239135742,23.05206298828125,11.95361614227295
2064,22.360498046875023,26.171929931640648,18.859338378906273,21.460872650146484,27.601572036743164,14.974583625793457,19.59422492980957,26.373310089111328,12.356689453125,21.73110008239746,26.293550491333008,16.992965698242188,23.614229202270508,31.160865783691406,15.727059364318848,17.58386993408203,22.608884811401367,12.145962715148926
2065,22.677789306640648,26.434381103515648,19.206994628906273,21.838626861572266,27.840185165405273,15.168033599853516,19.9757137298584,26.530210494995117,12.611461639404297,21.99809455871582,26.398744583129883,17.249149322509766,24.055618286132812,31.35618782043457,16.088279724121094,17.87479019165039,22.75970458984375,12.246465682983398
